,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
128,la cream cheese icing,"RanksumsResult(statistic=0.69732078979410073, pvalue=0.4856020602608091)","RanksumsResult(statistic=0.64858331523859902, pvalue=0.51660774280805732)","RanksumsResult(statistic=0.71231693581117816, pvalue=0.47626853902974786)","RanksumsResult(statistic=0.82103899443498962, pvalue=0.41162405713954453)","RanksumsResult(statistic=0.76480344687094926, pvalue=0.44438859496422256)","RanksumsResult(statistic=0.76480344687094926, pvalue=0.44438859496422256)"
345,tfa vanilla bean ice cream,0,0,0,0,0,0
316,sugar cookie cap,0,0,0,0,0,0
148,blue raspberry cotton candy,"RanksumsResult(statistic=0.69732078979410073, pvalue=0.4856020602608091)","RanksumsResult(statistic=0.64858331523859902, pvalue=0.51660774280805732)","RanksumsResult(statistic=0.56985354864894255, pvalue=0.56877703266601543)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.61484198670017487, pvalue=0.53865907807533864)"
289,menthol eucalyptus,0,0,0,0,0,0
195,caramel tobacco,0,0,0,0,0,0
344,yummy gummy,0,0,0,0,0,0
70,raspberry g,"RanksumsResult(statistic=1.0459811846911511, pvalue=0.29556971942201793)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)","RanksumsResult(statistic=1.1359580607936157, pvalue=0.25597411696398742)","RanksumsResult(statistic=1.2109387908790028, pvalue=0.22591886433785779)","RanksumsResult(statistic=1.2409310829131577, pvalue=0.2146312090407505)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)"
412,sassafras,0,0,0,0,0,0
210,toasted marshmallow,0,0,0,0,0,0
172,blueberry candy,0,0,0,0,0,0
124,tfa vanilla swirl,"RanksumsResult(statistic=0.69732078979410073, pvalue=0.4856020602608091)","RanksumsResult(statistic=0.64858331523859902, pvalue=0.51660774280805732)","RanksumsResult(statistic=0.90726683403318487, pvalue=0.3642657083570856)","RanksumsResult(statistic=0.82103899443498962, pvalue=0.41162405713954453)","RanksumsResult(statistic=0.79104670240083474, pvalue=0.42891673898803528)","RanksumsResult(statistic=0.78729766589656536, pvalue=0.43110763573410116)"
160,strawberry conc,"RanksumsResult(statistic=0.47612763604220859, pvalue=0.63398344944147633)","RanksumsResult(statistic=0.64858331523859902, pvalue=0.51660774280805732)","RanksumsResult(statistic=0.56985354864894255, pvalue=0.56877703266601543)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.49112378205928603, pvalue=0.62333890191738828)"
90,sweet cream cap,"RanksumsResult(statistic=1.0459811846911511, pvalue=0.29556971942201793)","RanksumsResult(statistic=0.95975334509295585, pvalue=0.33717936825401251)","RanksumsResult(statistic=1.1359580607936157, pvalue=0.25597411696398742)","RanksumsResult(statistic=1.0009927466399189, pvalue=0.31683031508867787)","RanksumsResult(statistic=1.0797225132295754, pvalue=0.28026576549398885)","RanksumsResult(statistic=1.0497302211954205, pvalue=0.29384216497767091)"
373,cap cinnamon danish swirl,0,0,0,0,0,0
255,rhubarb custard,0,0,0,0,0,0
218,blueberry ext,0,0,0,0,0,0
432,strawberry sweet,0,0,0,0,0,0
450,lemon sicily,0,0,0,0,0,0
433,strawberry tf,0,0,0,0,0,0
151,cinnamon sugar cookie,"RanksumsResult(statistic=0.69732078979410073, pvalue=0.4856020602608091)","RanksumsResult(statistic=0.64858331523859902, pvalue=0.51660774280805732)","RanksumsResult(statistic=0.56985354864894255, pvalue=0.56877703266601543)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.59234776767455866, pvalue=0.55361773516328316)"
274,fruit circle,0,0,0,0,0,0
330,ripe banana,0,0,0,0,0,0
249,tfa vanilla custard,0,0,0,0,0,0
88,raspberry r,"RanksumsResult(statistic=1.0459811846911511, pvalue=0.29556971942201793)","RanksumsResult(statistic=0.95975334509295585, pvalue=0.33717936825401251)","RanksumsResult(statistic=1.1359580607936157, pvalue=0.25597411696398742)","RanksumsResult(statistic=1.0009927466399189, pvalue=0.31683031508867787)","RanksumsResult(statistic=1.0797225132295754, pvalue=0.28026576549398885)","RanksumsResult(statistic=1.0647263672124978, pvalue=0.28699977451573233)"
317,caramel original,0,0,0,0,0,0
7,tfa peanut butter,"RanksumsResult(statistic=1.6195837698443629, pvalue=0.10532171835211786)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)","RanksumsResult(statistic=1.4808694191863967, pvalue=0.13864137348137903)","RanksumsResult(statistic=1.6720702809041341, pvalue=0.0945104641377527)","RanksumsResult(statistic=1.6195837698443629, pvalue=0.10532171835211786)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)"
186,sweet strawberry cap,0,0,0,0,0,0
179,vanilla butternut,0,0,0,0,0,0
217,new york cheesecake cap,0,0,0,0,0,0
202,raspberry sweet,0,0,0,0,0,0
439,coconut extra,0,0,0,0,0,0
167,chocolate cream,0,0,0,0,0,0
150,root beer,"RanksumsResult(statistic=0.69732078979410073, pvalue=0.4856020602608091)","RanksumsResult(statistic=0.64858331523859902, pvalue=0.51660774280805732)","RanksumsResult(statistic=0.56985354864894255, pvalue=0.56877703266601543)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.59984584068309743, pvalue=0.54860897960566912)"
455,hawk sauce,0,0,0,0,0,0
306,strawberry cheesecake,0,0,0,0,0,0
20,vanilla swirl,"RanksumsResult(statistic=1.6195837698443629, pvalue=0.10532171835211786)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)","RanksumsResult(statistic=1.4808694191863967, pvalue=0.13864137348137903)","RanksumsResult(statistic=1.5745953317931307, pvalue=0.11534988107482974)","RanksumsResult(statistic=1.6195837698443629, pvalue=0.10532171835211786)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)"
402,chai tea,0,0,0,0,0,0
174,dragon fruit,0,0,0,0,0,0
