,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
69,mocha,"MannwhitneyuResult(statistic=91.0, pvalue=0.14816801701822857)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=79.0, pvalue=0.1283563323568998)","MannwhitneyuResult(statistic=69.0, pvalue=0.11338130385285478)","MannwhitneyuResult(statistic=65.0, pvalue=0.10721165319120812)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
51,boom,"MannwhitneyuResult(statistic=44.0, pvalue=0.081151121399878512)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=33.0, pvalue=0.069465011443945915)","MannwhitneyuResult(statistic=52.0, pvalue=0.090714311054209962)","MannwhitneyuResult(statistic=51.5, pvalue=0.089625183880048809)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
417,peach,0,0,0,0,0,0
291,cloud,0,0,0,0,0,0
138,blood orange,"MannwhitneyuResult(statistic=137.5, pvalue=0.24355016640661897)","MannwhitneyuResult(statistic=144.0, pvalue=0.25868421242436912)","MannwhitneyuResult(statistic=135.5, pvalue=0.23891214920228798)","MannwhitneyuResult(statistic=153.0, pvalue=0.28159554498260825)","MannwhitneyuResult(statistic=153.0, pvalue=0.2811670593114502)","MannwhitneyuResult(statistic=138.5, pvalue=0.24558044260788675)"
292,vanilla cupcake,0,0,0,0,0,0
206,a watermelon,0,0,0,0,0,0
165,blackberry,0,0,0,0,0,0
391,blackber,0,0,0,0,0,0
228,capella,0,0,0,0,0,0
253,capel,0,0,0,0,0,0
299,pear,0,0,0,0,0,0
314,butter,0,0,0,0,0,0
43,bubblegum,"MannwhitneyuResult(statistic=44.0, pvalue=0.081151121399878512)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=33.0, pvalue=0.069465011443945915)","MannwhitneyuResult(statistic=45.0, pvalue=0.08242758992945487)","MannwhitneyuResult(statistic=45.5, pvalue=0.082536133273659495)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
60,pecan,"MannwhitneyuResult(statistic=91.0, pvalue=0.14816801701822857)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=33.0, pvalue=0.069465011443945915)","MannwhitneyuResult(statistic=57.5, pvalue=0.097646563259172203)","MannwhitneyuResult(statistic=65.0, pvalue=0.10721165319120812)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
63,e lemonade,"MannwhitneyuResult(statistic=91.0, pvalue=0.14816801701822857)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=33.0, pvalue=0.069465011443945915)","MannwhitneyuResult(statistic=63.0, pvalue=0.10496015330817066)","MannwhitneyuResult(statistic=65.0, pvalue=0.10721165319120812)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
285,skittle,0,0,0,0,0,0
168,pale,0,0,0,0,0,0
36,e vanilla b,"MannwhitneyuResult(statistic=44.0, pvalue=0.081151121399878512)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=33.0, pvalue=0.069465011443945915)","MannwhitneyuResult(statistic=37.0, pvalue=0.073670898107514801)","MannwhitneyuResult(statistic=36.5, pvalue=0.072705922089258024)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
380,oko,0,0,0,0,0,0
404,strawberry ca,0,0,0,0,0,0
339,bf,0,0,0,0,0,0
456,green apple,0,0,0,0,0,0
295,thug juice,0,0,0,0,0,0
193,ginger,0,0,0,0,0,0
